manufacturer,model,aliases,category,likely_valuable_components,component_type,confidence_level,desirability_score,maximum_worthwhile_delivered_price_gbp,ideal_fault_types,risky_fault_types,salvage_difficulty,package_or_removal_notes,source_or_verification_note,general_comments
Alesis,M1 Active 520,M1 520 Active,active speakers,power amp ICs; active crossover op-amps; PSU; drivers,power amplifier IC|op-amp|transformer or mechanical salvage,probable,45,30,one speaker faulty; hum; broken jack,burnt board; water damage; missing amp plate,medium,Low-value active amp donor,Common budget monitor; exact IC verify,Cheap only.
Behringer,Truth B2031A,B2031A active monitor|Truth 2031A,active speakers,power amplifier ICs/modules; active crossover op-amps; transformer/PSU; drivers,power amplifier IC|op-amp|transformer or mechanical salvage,probable,58,45,one speaker dead; hum; broken tweeter; cosmetic damage,burnt board; water damage; missing amp plate; both drivers blown,medium,Mains amp plate; discharge caps,Common active monitor; exact amp ICs vary by revision,Buy single faulty speakers cheap.
Genelec,1029A,Genelec 1029 A,active speakers,power amplifier modules; active crossover parts; drivers; transformer,power amplifier IC|op-amp|transformer or mechanical salvage,probable,78,100,one channel/speaker fault; broken input; cosmetic damage,burnt board; water damage; missing drivers,hard,High intact value; repair preferred,Genelec active monitor architecture; exact ICs verify,Usually worth more intact.
KRK,Rokit RP5 G2,RP5G2|Rokit 5 G2,active speakers,power amp ICs/modules; active crossover op-amps; transformer/SMPS; drivers,power amplifier IC|op-amp|transformer or mechanical salvage,probable,55,40,one speaker hum; broken input; tweeter fault,burnt amp board; water damage; missing drivers,medium,SMPS caution; parts useful if one driver works,Common active monitor; exact ICs vary,Faulty singles common.
M-Audio,BX5a,BX5a Deluxe|BX5 active speaker,active speakers,power amp ICs; active crossover op-amps; transformer/PSU; drivers,power amplifier IC|op-amp|transformer or mechanical salvage,probable,48,30,one speaker faulty; hum; broken socket,burnt board; water damage; missing amp plate,medium,Small active amp plate,Common monitor; exact ICs verify,Very common cheap.
Mackie,HR824,HR824 Mk1|HR824,active speakers,power amp modules; active crossover op-amps; drivers; transformer/PSU,power amplifier IC|op-amp|transformer or mechanical salvage,probable,72,100,single speaker fault; hum; broken input,burnt amp board; water damage; missing passive radiator/driver,hard,Large active monitor; high intact value,Common pro monitor; exact amp parts verify,Repair preferred.
Tannoy,Reveal Active,Reveal Active Monitor,active speakers,power amp ICs/modules; crossover op-amps; transformer/PSU; drivers,power amplifier IC|op-amp|transformer or mechanical salvage,probable,52,40,one speaker dead; hum; broken input,burnt board; water damage; missing drivers,medium,Mains plate caution,Common active monitor; exact components verify,Good single-speaker donor.
Arcam,AVR300,AVR 300,AV receiver,Wolfson/Cirrus-class DAC stage probable; DSP; transformer; power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,76,120,HDMI absent; input fault; display fault; missing remote,burnt output; no sound; water damage,hard,High intact value; heavy,Arcam AVR class; exact chips verify,Often repair candidate.
Denon,AVR-1909,AVR1909,AV receiver,multichannel DAC stage; DSP; transformer; power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,60,55,HDMI fault; missing remote; display fault,no sound; burnt output stage; water damage,hard,Heavy; mains safety,Common Denon AVR; exact DAC verify,Cheap with HDMI faults.
Denon,AVR-2805,AVR2805,AV receiver,DAC stage; DSP; large transformer; power amplifier parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,62,65,input selector fault; missing remote; display issue,burnt outputs; no sound; water damage,hard,Very heavy; local only preferable,Common older Denon AVR; exact DAC verify,Transformer/power parts more useful than DAC.
Marantz,SR5003,SR-5003,AV receiver,DAC stage; DSP; transformer; power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,62,65,HDMI fault; missing remote; display issue,burnt outputs; water damage; no sound,hard,Heavy; inspect heat damage,Common Marantz AVR; exact DAC verify,Local cheap only.
Onkyo,TX-NR609,TXNR609,AV receiver,DAC stage; DSP; transformer; power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,66,70,HDMI/network fault; display fault,no sound; burnt board; lightning damage; water damage,hard,Heavy; HDMI fault common but audio boards may be okay,Common UK AV receiver; exact DAC verify,Good donor only if local cheap.
Onkyo,TX-SR606,TXSR606,AV receiver,Burr-Brown/TI DAC stage reported; DSP; power amp output transistors; transformer,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,64,65,HDMI fault; display fault; missing remote,no sound; burnt output stage; lightning; water damage,hard,Heavy; discharge capacitors; mains safety,Common Onkyo HDMI-failure receiver; exact DAC verify,Often cheap due HDMI board faults.
Onkyo,TX-SR607,TXSR607,AV receiver,DAC stage; DSP; power amp parts; transformer,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,62,60,HDMI fault; missing remote; display issue,burnt output stage; no sound; water damage,hard,Heavy; many through-hole power parts,Common AV receiver; verify audio board,Avoid lightning damage.
Pioneer,VSX-AX3,VSXAX3,AV receiver,DAC stage; DSP; transformer; power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,60,60,display fault; input fault; missing remote,burnt outputs; water damage; no sound,hard,Heavy; many boards,Older Pioneer AVR; exact DAC verify,May be worth intact.
Rotel,RSX-1055,RSX1055,AV receiver,DAC stage; DSP; large transformer; discrete power amp parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,78,130,display fault; input selector fault; missing remote,burnt outputs; no sound; water damage,hard,Very heavy; transformer valuable,Rotel receiver class; exact DAC verify,Usually worth more intact.
Yamaha,DSP-A5,DSPA5,AV receiver,Yamaha DSP; DAC stage; transformer; power amplifier parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,58,45,display fault; missing remote; input selector fault,no sound; burnt output; water damage,hard,Heavy; discrete amp parts,Yamaha AV amp class; exact DAC verify,Cheap only.
Yamaha,RX-V595,RXV595,AV receiver,Yamaha DSP; DAC stage; transformer; power amplifier parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,56,45,display fault; missing remote; input fault,no sound; burnt outputs; lightning damage,hard,Heavy; power stage salvage,Common UK receiver; exact chips verify,Usually low resale.
Yamaha,RX-V640RDS,RXV640|RX-V640,AV receiver,DAC stage; DSP; transformer; power amplifier parts,standalone DAC|DSP|power amplifier IC|transformer or mechanical salvage,probable,58,50,display fault; HDMI absent so input faults; missing remote,burnt outputs; no sound; water damage,hard,Heavy shipping often kills value,Common model; verify internals,Good local pickup donor.
Arcam,Alpha 5,Alpha Five CD|Arcam Alpha 5 CD,CD player,DAC stage; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,62,55,tray fault; laser fault; missing remote,no sound; burnt board; water damage,medium,Good analogue-stage donor,Common Arcam player; exact DAC varies/verify,May be worth repair intact.
Arcam,Alpha 7,Alpha Seven CD|Arcam Alpha 7 CD,CD player,DAC stage; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,66,65,laser fault; tray fault; display issue,no sound; burnt board; water damage,medium,Verify DAC chip,Common UK hi-fi model; exact DAC not assumed,Often cheap faulty.
Arcam,Alpha 8,Alpha Eight CD|Alpha 8SE,CD player,DAC stage; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,72,85,laser fault; tray fault; missing remote,no sound; burnt board; water damage,medium,8SE may be worth intact,Common modding/upgrade model; verify revision,Avoid stripping good units.
Arcam,CD192,DiVA CD192,CD player,Wolfson DAC stage probable; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,82,140,laser fault; no disc; missing remote,no sound; burnt board; water damage,hard,Higher intact value; salvage only cheap faulty,High-line Arcam; exact chips should be verified,Often worth repair.
Arcam,CD72,DiVA CD72|CD 72,CD player,Wolfson DAC stage probable; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,72,85,laser fault; no disc; missing remote,no sound; burnt board; liquid damage,medium,Verify DAC markings,Arcam DiVA line commonly uses Wolfson-era DACs; confirm board,Good faulty donor.
Arcam,CD73,DiVA CD73|CD 73,CD player,Wolfson DAC stage probable; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,72,90,laser fault; tray fault; missing remote,burnt board; no sound; water damage,medium,Check audio board photos,Common Arcam DiVA model; exact DAC verify,May be worth more intact.
Audiolab,8000CD (new version),8000CD New|Audiolab 8000 CD,CD player,Cirrus Logic CS4398 DAC; analogue output-stage op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,82,110,no disc; tray fault; worn laser; missing remote; cosmetic damage,no audio; liquid damage; burnt PCB; missing main board,medium,CS4398 is a fine-pitch surface-mount device; preserve the analogue board until traced.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"Good CS4398 donor, but a tidy working example may be worth more intact."
Audiolab,8000CDE,8000 CDE|Audiolab 8000CDE,CD player,Cirrus Logic CS4398 DAC; VAM1202 transport; analogue-stage op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,84,105,no disc; tray fault; worn laser; display fault,no audio; corrosion; missing main PCB,medium,Trace the differential output/filter stage before removing the DAC.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Particularly relevant as a CS4398 implementation reference.
Audiolab,8200CD,8200 CD|Audiolab 8200 CD,CD player,ESS ES9018S DAC; USB/digital interface parts; analogue output stage; transformer,standalone DAC|op-amp|DSP,confirmed,77,130,disc mechanism fault; display fault; cosmetic damage,no audio; digital board fault; liquid damage,hard,ES9018S requires significant firmware/control support and is more useful as a board-level donor.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Often more sensible to repair than strip.
Cambridge Audio,Azur 540C,540C|Azur540C|540C V2,CD player,Wolfson DAC stage probable; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,65,60,laser fault; tray fault; missing remote,no sound; burnt board; water damage,medium,V1/V2 differs; verify DAC marking,Cambridge Azur series commonly Wolfson DAC; verify revision,Good donor if rough.
Cambridge Audio,Azur 540C V2,540C V2|Azur540C V2,CD player,Wolfson WM8740 DAC; op-amps; Sanyo SF-P101N transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,72,55,no disc; tray fault; laser fault; cosmetic damage,no audio; burnt board; water damage,medium,WM8740 is software controlled; salvage the nearby control and filter circuitry for reference.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"A useful, fairly common UK donor."
Cambridge Audio,Azur 640C,640C|Azur640C|640C V2,CD player,dual Wolfson DAC stage probable in V2; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,72,80,laser fault; tray fault; missing remote,no sound; burnt board; water damage,medium,Verify V2 if paying for dual DAC claim,Commonly documented 640C V2 uses dual Wolfson DACs; verify board,Often repairable intact.
Cambridge Audio,Azur 640C V2,640C V2|Azur640C V2,CD player,2 x Wolfson WM8740 DACs; op-amps; Sanyo SF-P101N transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,83,80,no disc; tray fault; worn laser; missing remote,no audio; missing DAC board; corrosion,medium,Dual WM8740 arrangement is useful to study before harvesting.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,One of the better realistic UK-market donor searches.
Cambridge Audio,Azur 650C,650C|Azur650C,CD player,2 x Wolfson WM8740 DACs; op-amps; Sanyo SF-P101N transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,82,85,laser fault; tray fault; no disc; display fault,no sound; liquid damage; board missing,medium,Software-controlled DACs; keep controller board information.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Often overlooked beside the 640C.
Cambridge Audio,Azur 740C,740C|Azur740C,CD player,2 x Wolfson WM8740 DACs; upsampling DSP; analogue output stage; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,confirmed,84,110,transport fault; display fault; cosmetic damage,digital board failure; no audio; corrosion,hard,Dual DAC plus DSP architecture; better as a board-level donor or repair project.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Useful but usually valuable intact.
Cambridge Audio,Azur 840C,840C|Azur840C,CD player,2 x Analog Devices AD1955A DACs; Anagram upsampler; op-amps; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,confirmed,91,160,transport fault; tray fault; display fault,no audio; digital board fault; liquid damage,hard,AD1955A is attractive but the surrounding architecture is complex.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,A genuine hidden-gem donor only when badly priced or mechanically faulty.
Cambridge Audio,CD200,Cambridge CD200,CD player,Analog Devices AD1865N DAC; digital filter; transformer; transport,standalone DAC|transformer or mechanical salvage,confirmed,88,95,no disc; tray fault; laser failure; cosmetic damage,no audio; modified unit; missing main board,medium,AD1865N is a desirable through-hole multibit DAC and relatively pleasant to remove.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Worth a specific saved search.
Cambridge Audio,D300,D300 SE|D300SE,CD player,DAC stage; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,52,35,tray fault; no disc; missing remote,burnt board; water damage; no sound,easy,Low-price only,Exact IC not assumed,Cheap common unit.
Cambridge Audio,D500,D500 SE|D500SE,CD player,DAC stage; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,58,45,laser fault; tray fault; missing remote,burnt board; no sound; water damage,medium,Verify DAC before bidding,Common UK Cambridge CD player; exact DAC varies,Good low-cost donor.
Cambridge Audio,D500 SE,D500SE|D500 Special Edition,CD player,Cirrus Logic CS4391 DAC; op-amps; KSS-213 transport; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,69,45,laser fault; tray fault; no disc,no audio; burnt output stage,medium,Confirm SE version; ordinary D500 uses a different DAC.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Model suffix matters.
CEC,TL51XR,TL 51 XR|CEC TL-51XR,CD player,2 x Burr-Brown PCM1796 DACs; belt-drive transport; analogue output stage,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,91,180,belt/transport fault; display fault; cosmetic damage,no audio; missing DAC board; liquid damage,hard,Dual current-output DAC implementation; keep I/V circuitry intact for study.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Rare and usually valuable intact.
Denon,DCD-1015,DCD1015,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,64,60,laser fault; tray fault,no sound; burnt PCB; water damage,medium,Verify chip markings,Model-specific component uncertainty,Buy only cheaply.
Denon,DCD-1450AR,DCD1450AR|1450AR,CD player,2 x Burr-Brown PCM1702-L DACs; SM5845 digital filter; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,89,120,laser failure; tray fault; no disc; cosmetic damage,no audio; missing audio PCB; corrosion,medium,PCM1702 devices are valuable; use careful hot-air or low-melt removal.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Strong multibit donor.
Denon,DCD-1500,DCD1500|DCD-1500 II|DCD1500II,CD player,DAC stage; op-amps; substantial transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,76,100,tray fault; no disc; missing remote,no sound; burnt PSU; water damage,hard,Heavy; transformer and analogue board useful,Higher-line Denon player class; verify exact DAC per revision,May be worth more intact.
Denon,DCD-1520,DCD1520|1520,CD player,2 x Burr-Brown PCM64P DACs; digital filter; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,93,145,transport fault; no disc; tray fault,no audio; missing DAC board; corrosion,medium,PCM64P devices are valuable through-hole multibit parts.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"A very desirable donor, though collectors know it."
Denon,DCD-1560,DCD1560,CD player,PCM1702/PCM1704-era DAC reported in some references uncertain; transformer; op-amps,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,78,110,transport fault; no disc; missing remote,burnt board; no sound; missing DAC board,hard,Verify exact DAC markings before paying premium,Conflicting online references by market/revision; internal photo required,Potentially interesting but do not assume R-2R parts.
Denon,DCD-1630,DCD1630|1630,CD player,2 x Burr-Brown PCM1701P DACs; SM5813 digital filter; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,86,105,laser fault; tray fault; no disc,no audio; water damage; missing board,medium,Through-hole PCM1701 parts are relatively straightforward to harvest.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Good saved-search candidate.
Denon,DCD-1650,DCD1650|DCD-1650AR|DCD1650AR,CD player,high-grade DAC stage; transformer; op-amps; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,86,170,no disc; tray fault; missing remote,burnt board; lightning; water damage,hard,Heavy and complex,High-line Denon model; exact revision matters,Often worth more intact.
Denon,DCD-1650AL,DCD1650AL|1650AL,CD player,4 x Burr-Brown PCM1702 DACs; SM5845 digital filter; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,96,190,laser fault; tray fault; cosmetic damage,no sound; missing analogue board; corrosion,hard,Four valuable DACs; photograph and map revisions before removal.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Rare and often too valuable intact.
Denon,DCD-1650AZ,DCD1650AZ|1650AZ,CD player,4 x Burr-Brown PCM1704 DACs; PMD100 digital filter; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,99,250,transport fault; no disc; cosmetic damage,no audio; parts removed; modified DAC board,hard,PCM1704 and PMD100 are highly desirable and frequently counterfeited.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,"Exceptional donor, but unlikely to be cheap."
Denon,DCD-2560,DCD2560,CD player,high-end DAC stage; substantial transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,84,150,no disc; tray fault; display fault,burnt board; water damage; missing DAC board,hard,Heavy; often worth repair,High-line Denon; exact DAC needs service manual/photo verification,Usually more valuable intact.
Denon,DCD-620,DCD620,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,58,45,tray fault; no disc; missing remote,burnt board; no sound; water damage,medium,Verify converter chip before buying,Older Denon CD player; exact DAC not assumed,Cheap only.
Denon,DCD-625,DCD625,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,58,45,tray fault; no disc; missing remote,burnt board; no sound; liquid damage,medium,Verify board photos,Model-specific chip uncertain,Common enough in UK.
Denon,DCD-825,DCD825,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,62,55,tray fault; no disc; missing remote,burnt board; water damage; no sound,medium,Good chassis/PSU donor,Exact DAC should be verified,Do not assume premium DAC.
Marantz,CD-17,CD17|Marantz CD17,CD player,Philips TDA1547 DAC; SAA7350; SM5841; op-amps; transformer,standalone DAC|DSP|op-amp|transformer or mechanical salvage,confirmed,90,140,transport fault; no disc; tray fault,no audio; missing DAC board; liquid damage,hard,TDA1547 and surrounding digital filter parts are desirable; preserve board context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Often worth repairing rather than stripping.
Marantz,CD-17 Mk II,CD17 Mk2|CD-17 MKII,CD player,Philips TDA1547 DAC; TDA1307 filter/interface; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,89,140,laser fault; tray fault; display fault,no sound; missing main PCB; corrosion,hard,Verify revision because Mk III uses different DACs.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Revision-sensitive listing.
Marantz,CD-23,CD23|Marantz CD23,CD player,2 x Philips TDA1547 DACs; CDM-9 Pro transport; transformer,standalone DAC|transformer or mechanical salvage,confirmed,98,250,transport control fault; tray fault; cosmetic damage,no audio; missing DAC PCB; heavily modified,hard,Dual valuable DACs and desirable transport; whole unit has collector value.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,More likely a repair/resale target than a sacrificial donor.
Marantz,CD-40,CD40,CD player,Philips TDA1541-family DAC probable; CDM transport; transformer,standalone DAC|transformer or mechanical salvage,probable,76,80,tray fault; no disc; missing remote,no sound; burnt board; water damage,medium,Philips-derived internals; check photos,Common Marantz/Philips platform; verify DAC marking,Practical UK donor if cheap.
Marantz,CD-50,CD50,CD player,TDA1541A DAC probable; CDM transport; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,82,100,tray belt; no disc; missing remote,no sound; burnt PSU; corrosion,medium,DAC board and transport worth checking,Widely associated with TDA1541A; verify board,Often repairable and desirable.
Marantz,CD-52,CD52|CD-52 MkII|CD52SE,CD player,bitstream or TDA depending version uncertain; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,uncertain,62,55,tray fault; no disc; display dim,no sound; burnt board; water damage,medium,Version matters; verify exact board,Model revisions vary; no exact DAC assumed,Good cheap donor if not collectible SE.
Marantz,CD-60,CD60|Marantz CD60 vintage,CD player,Philips TDA1541A DAC; SAA7220 digital filter; CDM-4 transport; transformer,standalone DAC|DSP|transformer or mechanical salvage,confirmed,91,130,tray fault; laser fault; no disc; cosmetic damage,no sound; missing DAC; corrosion,medium,TDA1541A is through-hole; avoid overheating and preserve provenance.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Use aliases carefully to avoid the unrelated modern CD 60.
Marantz,CD-63,CD63|CD-63 KI|CD63SE,CD player,DAC stage; op-amps; transformer; CD transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,70,70,tray fault; laser fault; missing remote,no sound; burnt board; water damage,medium,KI/SE worth more intact; salvage base faulty units,Common modding platform; exact DAC should be verified by revision,KI Signature usually too valuable intact.
Marantz,CD-67,CD67|CD67SE|CD-67SE,CD player,DAC stage; op-amps; transformer; CD transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,68,60,laser fault; tray fault; missing remote,no sound; burnt PCB; corrosion,medium,Good op-amp/PSU donor if cheap,Common UK player; verify DAC chip by photo,Avoid high-price SE variants for salvage.
Marantz,CD-72,CD72|CD72SE,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,72,80,tray fault; no disc; missing remote,burnt board; water damage; no sound,medium,Sturdy chassis; check DAC board,Model-specific DAC varies; verify internals,Can be worth repair intact.
Marantz,CD-72 Mk II,CD72 Mk2|CD-72 MKII,CD player,Philips TDA1547 DAC; SAA7350; SM5840; CDM-4 transport,standalone DAC|DSP|transformer or mechanical salvage,confirmed,88,115,tray fault; laser fault; display fault,no audio; missing board; water damage,hard,Do not confuse with ordinary CD-72 variants.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Suffix and revision are essential.
Marantz,CD6000,CD-6000|CD6000 OSE|CD6000OSE,CD player,DAC stage; op-amps; transformer; transport,standalone DAC|op-amp|transformer or mechanical salvage,probable,68,65,laser fault; tray fault; missing remote,no sound; burnt board; water damage,medium,OSE units can be worth intact,Common UK player; verify board photos,Do not overpay.
Marantz,CD7300,CD-7300,CD player,Cirrus/Crystal DAC stage probable; op-amps; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,66,70,no disc; tray fault; missing remote,no sound; burnt board; corrosion,medium,Check DAC chip markings,Exact chip should be verified; model is common donor class,Good if cosmetically rough.
Meridian,206,Meridian 206 CD,CD player,Philips TDA1541A-S1 DAC; CDM-4/21 transport; analogue stage; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,97,220,transport fault; display fault; tray fault,no audio; missing DAC board; modified unit,medium,Single-crown TDA1541A-S1 has high collector value.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Usually worth preserving intact.
